Loan_ID,Customer_ID,Customer_Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Salary,Other_Income,Loan_Amount,Product_Type,Credit_Score,Tenure_Months,Interest_Rate,EMI,Current_Status,Delinquency_Flag,Channel,Issue_Date,Region
L0001,C00001,59,Male,Married,0,Bachelors,Freelancer,28737361,3000264,452932120,Personal,691,24,17.72,15917690,Active,0,Branch,13-10-2023,Medan
L0002,C00002,49,Male,Married,0,Bachelors,Freelancer,25256880,9160899,231557516,BNPL,593,12,14.3,17607617,Active,0,Partner,29-04-2024,Surabaya
L0003,C00003,35,Male,Married,0,Bachelors,Freelancer,33704996,3514674,261601121,Personal,693,12,12.25,13044302,Active,1,Agent,14-03-2025,Surabaya
L0004,C00004,63,Female,Single,0,High School,Salaried,20941926,9422487,376883890,Auto,646,60,10.69,1396904,Active,0,Agent,22-05-2025,Surabaya
L0005,C00005,28,Female,Single,0,Bachelors,Self-Employed,16047100,10536772,257399609,Personal,626,36,19.1,6780833,Closed,0,Partner,06-12-2023,Bali
L0006,C00006,41,Male,Married,0,Masters,Salaried,43199721,14810257,198650529,Education,779,36,18.33,5165666,Active,0,Online,07-09-2025,Bali
L0007,C00007,59,Male,Married,3,High School,Salaried,15531792,3073961,10987938,Mortgage,790,12,19,9814324,Delinquent,1,Partner,13-09-2023,Bandung
L0008,C00008,39,Male,Single,2,Bachelors,Salaried,13893518,8606776,84183397,Mortgage,689,24,13.96,9948693,Active,0,Online,05-03-2023,Surabaya
L0009,C00009,43,Female,Married,0,Masters,Salaried,37463505,148178,40296194,BNPL,604,60,12.2,7185430,Active,0,Partner,15-06-2023,Bali
L0010,C00010,31,Female,Single,1,Masters,Salaried,33607382,8446731,371692158,Mortgage,600,48,20.16,11063811,Closed,0,Branch,19-05-2025,Bali
L0011,C00011,31,Female,Married,3,High School,Freelancer,47566130,2208977,131241577,Education,651,48,20.38,6880599,Delinquent,0,Partner,04-03-2023,Bali
L0012,C00012,44,Female,Single,3,High School,Salaried,7029341,1217309,480624887,Mortgage,716,36,15.29,8572307,Active,0,Branch,03-04-2023,Bandung
L0013,C00013,56,Male,Married,0,High School,Self-Employed,58349113,11256151,461681722,Education,710,24,17.79,5597158,Closed,0,Online,15-03-2023,Bandung
L0014,C00014,60,Male,Single,3,Bachelors,Salaried,20962977,3370698,187843013,Auto,710,36,13.98,7050485,Restructured,0,Branch,04-05-2025,Surabaya
L0015,C00015,44,Male,Married,0,Bachelors,Salaried,37678713,10710626,477102454,Personal,578,24,19.23,16348646,Restructured,0,Online,23-07-2025,Medan
L0016,C00016,23,Male,Single,2,High School,Salaried,32692739,8344854,162059311,Auto,618,60,21.37,1181136,Closed,0,Agent,06-01-2025,Surabaya
L0017,C00017,42,Female,Single,2,PhD,Salaried,24179330,7315664,36272447,Personal,747,24,19.01,14799570,Closed,0,Branch,21-08-2024,Bali
L0018,C00018,22,Female,Single,3,Bachelors,Salaried,53072774,5132928,378544240,Auto,708,48,16.2,16222447,Active,0,Branch,13-01-2024,Bali
L0019,C00019,44,Male,Married,3,High School,Salaried,40324049,13782350,396110866,Auto,629,12,15.34,6366434,Delinquent,1,Agent,12-09-2022,Jakarta
